Taxon	Level	Annot	Sample_type	F6_her	F6_abund	F6_pnull	F7_her	F7_abund	F7_pnull
Otu15741	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D240	0.0369	0.022	10.43	0.0507	0.025	5.33
Otu15741	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	CC	0	0.005	48.29	0	0.003	66.56
Otu15742	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	D25	NA	NA	NA	0.1143	0.02	56.47
Otu15742	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	D120	NA	NA	NA	0.0551	0.003	69.63
Otu15743	OTUs	Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Sarcina	D240	NA	NA	NA	0.0839	0.008	64.95
Otu15743	OTUs	Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Sarcina	IC	0	0.008	67.36	NA	NA	NA
Otu15744	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0.0755	0.087	0.21	0	0.068	2.22
Otu15744	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.0384	0.102	0.79	0	0.081	0.52
Otu15744	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0	0.133	1.37	0.1456	0.073	6.44
Otu15745	OTUs	Proteobacteria;Alphaproteobacteria	D25	0.1733	0.019	62.96	NA	NA	NA
Otu15745	OTUs	Proteobacteria;Alphaproteobacteria	D120	0.23	0.017	39.37	0.0051	0.028	38.27
Otu15745	OTUs	Proteobacteria;Alphaproteobacteria	D240	0.0528	0.037	24.33	0.0507	0.065	12.89
Otu15745	OTUs	Proteobacteria;Alphaproteobacteria	CC	0	0.028	39.04	0.0164	0.038	31.55
Otu15746	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	D240	0.0132	0.038	48.03	NA	NA	NA
Otu15747	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0.1547	0.127	14.53	0.0816	0.147	13.09
Otu15747	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0	0.172	0.95	0.184	0.213	1.55
Otu15747	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0.0983	0.139	4.11	0.074	0.143	8.95
Otu15747	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	IC	NA	NA	NA	0	0.003	79.9
Otu15749	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D25	0	0.002	74.07	0	0.003	68.1
Otu15749	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D120	0.0245	0.009	37.26	0	0.008	44.94
Otu15749	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D240	0.1058	0.004	61.3	0.014	0.004	60.48
Otu1575	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0.0568	0.002	73.05	NA	NA	NA
Otu1575	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.0508	0.003	67.77	0.0741	0.006	45.88
Otu15750	OTUs	Firmicutes;Clostridia;Clostridiales;Christensenellaceae	D25	NA	NA	NA	0.0108	0.003	78.45
Otu15750	OTUs	Firmicutes;Clostridia;Clostridiales;Christensenellaceae	D120	0.0054	0.014	21.89	0	0.015	16.54
Otu15750	OTUs	Firmicutes;Clostridia;Clostridiales;Christensenellaceae	D240	0	0.016	15.96	0.026	0.018	12.54
Otu15750	OTUs	Firmicutes;Clostridia;Clostridiales;Christensenellaceae	CC	0	0.024	10.62	0.0569	0.02	17.58
Otu15752	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	D240	0.0289	0.002	79.78	0.1509	0.003	72.68
Otu15752	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	CC	0.0169	0.012	50.68	0.0697	0.056	19.47
Otu15754	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	D120	0.2195	0.017	39.58	0	0.015	47.65
Otu15754	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	D240	0.0427	0.045	7.74	0	0.036	11
Otu15754	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	CC	0.0241	0.061	10.62	0.1277	0.03	21.82
Otu15755	OTUs	Firmicutes;Clostridia;Clostridiales;Clostridiaceae	D120	0	0.007	44.42	0.0949	0.038	31.36
Otu15755	OTUs	Firmicutes;Clostridia;Clostridiales;Clostridiaceae	D240	0.0338	0.005	61.3	0.0972	0.009	46.39
Otu15755	OTUs	Firmicutes;Clostridia;Clostridiales;Clostridiaceae	CC	0	0.006	54.79	0.1269	0.003	76.3
Otu15755	OTUs	Firmicutes;Clostridia;Clostridiales;Clostridiaceae	IC	0	0.111	26.74	0.0521	0.058	45.1
Otu15758	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D25	0	0.007	69.14	0	0.019	67.67
Otu15758	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0.0129	0.007	34.11	0.0356	0.009	40.49
Otu15758	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0	0.005	47.55	0	0.004	54.3
Otu15758	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0	0.003	65.75	0	0.003	69.39
Otu1576	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter	D120	0.0591	0.127	1.47	0.1362	0.11	3.46
Otu1576	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter	D240	0.0866	0.122	3.32	0.0451	0.189	3.61
Otu1576	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter	CC	0	0.078	41.78	0	0.023	54.63
Otu15760	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D120	0.0509	0.004	69.05	0	0.002	79.01
Otu15760	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D240	0.0593	0.011	45.66	0.1274	0.007	45.36
Otu15760	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	CC	0.1419	0.003	70.55	NA	NA	NA
Otu15761	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0.0287	0.012	48	0	0.008	51.6
Otu15761	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0	0.016	20.85	0.0164	0.011	28.35
Otu15761	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0.0844	0.014	31.51	0	0.005	58.4
Otu15762	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.0173	0.008	65.26	0	0.012	52.35
Otu15762	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.1158	0.007	60.19	0.0933	0.005	63.4
Otu15762	OTUs	Firmicutes;Clostridia;Clostridiales	CC	0.1557	0.003	77.4	NA	NA	NA
Otu15763	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0	0.012	37.05	0	0.01	42.96
Otu15763	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.1307	0.009	37.44	0.0379	0.012	30.76
Otu15763	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0	0.002	78.77	0.0634	0.004	73
Otu15764	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0577	0.003	77.09	0.0674	0.002	79.73
Otu15767	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium_prausnitzii	D25	0.0364	0.101	32.1	0	0.276	28.02
Otu15767	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium_prausnitzii	D120	0.0597	0.157	1.26	0	0.193	1.98
Otu15767	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium_prausnitzii	D240	0.107	0.523	2.05	0.0224	0.094	7.9
Otu15767	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium_prausnitzii	CC	0.1509	0.038	19.52	0	0.013	54.16
Otu15767	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium_prausnitzii	IC	0	0.083	47.57	NA	NA	NA
Otu15768	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.0064	0.008	60.66	0.07	0.004	67.7
Otu15768	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0.123	0.007	69.18	0.1178	0.009	59.97
Otu15769	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae	CC	0.0289	0.005	71.58	0.0811	0.032	36.89
Otu1577	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;Fibrobacter_succinogenes	D120	0.042	0.352	16.63	0.022	0.139	39.51
Otu1577	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;Fibrobacter_succinogenes	D240	0.1079	0.256	21.8	0.0787	0.281	29.38
Otu1577	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;Fibrobacter_succinogenes	CC	0.1744	0.099	62.33	0	0.087	60.6
Otu15771	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus;Ruminococcus_gnavus	D25	0	0.308	3.7	0	0.27	1.72
Otu15771	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus;Ruminococcus_gnavus	D120	0	0.1	0.63	0.2001	0.09	2.22
Otu15771	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus;Ruminococcus_gnavus	D240	0.0947	0.071	1.9	0.1599	0.05	2.75
Otu15771	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus;Ruminococcus_gnavus	CC	0.1029	0.036	13.01	0.0593	0.019	31.4
Otu15771	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus;Ruminococcus_gnavus	IC	0	0.004	72.92	NA	NA	NA
Otu15772	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D25	0	0.013	53.09	0	0.012	52.59
Otu15772	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D120	0	0.022	16	0.1482	0.021	18.77
Otu15772	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D240	0	0.018	15.48	0.0535	0.013	24.4
Otu15772	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	CC	0	0.007	37.67	0.0459	0.002	72.53
Otu15773	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0	0.015	38.32	0	0.006	60.49
Otu15773	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0356	0.016	30.17	0.0169	0.012	39.35
Otu15773	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0.0889	0.013	44.86	0.0898	0.023	41.13
Otu15774	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D25	0.196	0.007	64.2	NA	NA	NA
Otu15774	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0	0.031	10.32	0.0666	0.02	20.25
Otu15774	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.028	0.044	2.84	0	0.036	4.64
Otu15774	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0	0.014	17.47	0	0.007	40.66
Otu15775	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.0824	0.004	67.37	0.0576	0.004	73.09
Otu15775	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0	0.004	71.09	0.066	0.005	66.49
Otu15777	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D25	0	0.01	79.01	NA	NA	NA
Otu15777	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D120	0.302	0.064	21.26	0	0.034	34.57
Otu15777	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D240	0.0789	0.04	37.12	0.1278	0.029	51.37
Otu15777	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	CC	0.1014	0.004	77.74	NA	NA	NA
Otu15783	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0	0.006	50.53	0	0.028	14.81
Otu15783	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.0562	0.006	45.81	0	0.013	24.4
Otu15783	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	NA	NA	NA	0	0.005	50.39
Otu15785	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D25	0	0.007	77.78	0.1484	0.009	75
Otu15785	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D120	0.0141	0.097	0	0.4194	0.09	0.74
Otu15785	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D240	0	0.099	0	0	0.086	0.17
Otu15785	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	CC	0.1568	0.111	1.03	0.1315	0.06	12.72
Otu15785	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	IC	0	0.002	76.04	NA	NA	NA
Otu15786	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0489	0.004	69.04	0	0.003	73.54
Otu15787	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0	0.014	29.05	0.1196	0.022	25.19
Otu15787	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0613	0.016	28.28	0.0441	0.018	25.26
Otu15787	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0	0.005	56.16	0.1357	0.003	63.27
Otu15788	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0.1285	0.236	0.42	0.0826	0.185	0.74
Otu15788	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.1018	0.19	0.16	0.2756	0.184	0
Otu15788	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0.0156	0.106	1.71	0	0.048	7.38
Otu15788	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	IC	0	0.002	77.43	NA	NA	NA
Otu15789	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0	0.009	56.08	0.138	0.006	71.82
Otu15789	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0	0.014	63.01	0.1191	0.006	77.08
Otu1579	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter	D25	0.2237	0.014	66.67	0	0.011	68.1
Otu1579	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter	D120	0.1698	0.044	14.95	0.0977	0.022	25.43
Otu1579	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter	D240	0.0993	0.034	13.74	0	0.036	20.96
Otu1579	OTUs	Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter	CC	0	0.025	25.34	0.0159	0.011	50.24
Otu15791	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	CC	NA	NA	NA	0.0168	0.016	61.54
Otu15792	OTUs	Proteobacteria	D120	0.0038	0.009	70.32	0.1384	0.006	74.07
Otu15792	OTUs	Proteobacteria	D240	0.0847	0.007	63.51	0.1144	0.015	52.58
Otu15794	OTUs	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	D25	0	0.012	37.04	0	0.015	38.36
Otu15794	OTUs	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	D120	0	0.022	13.47	0.0313	0.018	16.54
Otu15794	OTUs	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	D240	0.0187	0.02	16.75	0.0861	0.025	10.48
Otu15794	OTUs	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	CC	0	0.007	38.01	0.0286	0.003	65.31
Otu15797	OTUs	Firmicutes;Clostridia;Clostridiales	D120	NA	NA	NA	0	0.004	76.54
Otu15798	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	NA	NA	NA	0.0136	0.003	72.41
Otu15798	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0.007	0.018	15.37	0	0.022	11.36
Otu15798	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0	0.023	14.06	0.0106	0.03	9.11
Otu15798	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0	0.006	47.26	0	0.006	48.67
Otu15799	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0	0.018	23.58	0	0.016	28.4
Otu15799	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.0497	0.014	36.02	0	0.009	46.39
Otu15799	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0.0207	0.014	40.75	0.1407	0.007	58.24
Otu158	OTUs	Tenericutes;Mollicutes;RF39	D25	0.2402	0.015	64.2	0	0.018	60.34
Otu158	OTUs	Tenericutes;Mollicutes;RF39	D120	0	0.025	7.37	0	0.013	24.94
Otu158	OTUs	Tenericutes;Mollicutes;RF39	D240	0.0837	0.01	30.81	0	0.009	27.66
Otu158	OTUs	Tenericutes;Mollicutes;RF39	CC	0	0.016	27.4	0.0566	0.011	30.77
Otu15800	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0.0521	0.046	8.21	0	0.051	8.64
Otu15800	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.1513	0.029	14.38	0.0789	0.042	10.31
Otu15800	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0.1027	0.017	36.64	0.0003	0.028	32.18
Otu15803	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D120	0.0047	0.002	69.89	0	0.004	73.58
Otu15803	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D240	0.0976	0.003	63.67	0	0.004	63.06
Otu15803	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	CC	0.0233	0.002	75.68	NA	NA	NA
Otu15804	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	D25	0	0.032	34.57	0.2861	0.025	35.34
Otu15805	OTUs	Firmicutes;Clostridia;Clostridiales	D25	NA	NA	NA	0.0853	0.022	53.02
Otu15805	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.0142	0.004	68	0.042	0.005	58.77
Otu15805	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0	0.003	73.3	0.0077	0.003	74.23
Otu15806	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0322	0.005	53.87	0.0513	0.003	63.57
Otu15806	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0.0194	0.004	67.47	0.0389	0.003	71.43
Otu15807	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	D240	NA	NA	NA	0.0648	0.003	71.48
Otu15807	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	CC	0	0.007	71.92	0.0164	0.014	58.08
Otu15808	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;YRC22	D120	0.0319	0.002	78.74	0	0.002	74.32
Otu15808	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;YRC22	D240	0	0.004	59.72	0	0.006	45.19
Otu15808	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;YRC22	CC	NA	NA	NA	0.0908	0.003	75.2
Otu15809	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;CF231	CC	0.014	0.003	73.29	0	0.015	41.92
Otu15810	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	D25	NA	NA	NA	0.0096	0.008	75.43
Otu15812	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	CC	0	0.007	60.62	0.0677	0.026	25.43
Otu15816	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	D25	0	0.118	4.94	0.0422	0.086	14.66
Otu15816	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	D120	0.0576	0.108	0.84	0.1184	0.082	4.94
Otu15816	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	D240	0.1026	0.106	0.79	0.3329	0.079	1.37
Otu15816	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	CC	0.094	0.037	4.79	0	0.012	35.16
Otu15816	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	IC	0	0.008	61.81	NA	NA	NA
Otu15817	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	D25	NA	NA	NA	0.0407	0.009	71.55
Otu15820	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0.0204	0.008	42.95	0	0.008	46.17
Otu15820	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0539	0.005	58.29	0.0327	0.006	51.03
Otu15821	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0.0992	0.003	65.89	0	0.001	79.51
Otu15821	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0	0.003	62.56	0	0.003	59.97
Otu15822	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0	0.004	58.74	0.0139	0.011	40
Otu15822	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.0164	0.012	28.44	0.0311	0.006	46.05
Otu15822	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0	0.008	43.84	0.0056	0.006	54.47
Otu15823	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D25	0	0.003	77.78	NA	NA	NA
Otu15823	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D120	0.0332	0.004	54.32	0	0.003	64.69
Otu15823	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D240	0.0117	0.002	74.88	0.0217	0.003	65.81
Otu15823	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	CC	0	0.003	62.67	NA	NA	NA
Otu15824	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D25	0	0.003	71.6	0.1838	0.002	72.41
Otu15824	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0	0.007	32.84	0	0.005	43.46
Otu15824	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.0136	0.007	34.28	0	0.006	41.58
Otu15824	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0	0.003	58.56	0	0.002	68.13
Otu15827	OTUs	Cyanobacteria;4C0d-2;YS2	D25	0.3354	0.136	50.62	0.0779	0.098	66.38
Otu15827	OTUs	Cyanobacteria;4C0d-2;YS2	D120	0.1345	0.05	19.16	0.1692	0.018	45.19
Otu15827	OTUs	Cyanobacteria;4C0d-2;YS2	D240	0.1063	0.026	27.65	0.1265	0.019	35.22
Otu15827	OTUs	Cyanobacteria;4C0d-2;YS2	CC	0	0.04	31.16	0.0855	0.022	43.49
Otu15828	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0	0.007	74.95	0	0.015	37.28
Otu15828	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0	0.011	51.5	0.1454	0.017	44.5
Otu15828	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0.1143	0.016	70.55	0.185	0.011	61.22
Otu15829	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0	0.003	72.84	0	0.007	69.14
Otu15829	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.0206	0.008	50.71	0	0.007	51.2
Otu15829	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0	0.007	58.9	0.0066	0.005	73
Otu15830	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D120	0.0499	0.006	41.26	0.0075	0.005	50.12
Otu15830	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D240	0	0.011	23.22	0.1269	0.009	29.9
Otu15830	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	CC	0.1728	0.012	31.16	0.2359	0.011	39.4
Otu15832	OTUs	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia	D120	0	0.013	26.95	0	0.008	44.94
Otu15832	OTUs	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia	D240	0.0605	0.016	21.33	0.1068	0.02	16.67
Otu15832	OTUs	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia	CC	0	0.003	62.67	0.0201	0.002	70.8
Otu15835	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0	0.003	79.75
Otu15836	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D25	0.182	0.008	62.96	0	0.008	64.66
Otu15836	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0.0422	0.02	7.16	0.1093	0.018	9.88
Otu15836	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0	0.021	6.79	0.0209	0.015	10.65
Otu15836	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	CC	0	0.009	28.42	0	0.005	47.25
Otu15837	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus;Ruminococcus_gnavus	D120	0.1037	0.05	6.95	0.0467	0.036	22.47
Otu15837	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus;Ruminococcus_gnavus	D240	0.0043	0.04	5.53	0.0141	0.028	14.09
Otu15837	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus;Ruminococcus_gnavus	CC	0.1552	0.019	20.21	0.0341	0.007	47.57
Otu15839	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	D25	NA	NA	NA	0	0.006	74.57
Otu15842	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	CC	0	0.003	72.95	0.012	0.026	36.26
Otu15843	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	D120	0	0.002	74.74	0.0539	0.003	73.09
Otu15843	OTUs	Bacteroidetes;Bacteroidia;Bacteroidales	D240	0.0396	0.003	66.35	0.0948	0.007	51.37
