id	F6-p	F7-p	annotation	group	method	shape
Otu1157	0.3241	0.8056	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu7286	0.3242	0.6688	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu7068	0.3243	0.8113	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu9387	0.3244	0.06743	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_stercorea"	grey	h1-q	Binary_Quantitative
Otu13389	0.3246	0.4845	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu14195	0.3252	0.4475	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu22924	0.3253	0.7796	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu24730	0.3255	0.1476	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu15896	0.3257	0.7774	"Bacteria;Proteobacteria;Alphaproteobacteria;RF32"	grey	h1-q	Binary_Quantitative
Otu21520	0.3262	0.2744	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h1-q	Binary_Quantitative
Otu7215	0.3263	0.3928	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu15917	0.3265	0.1819	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus"	grey	h1-q	Binary_Quantitative
Otu7077	0.3276	0.7317	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu30169	0.3282	0.5428	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira"	grey	h1-q	Binary_Quantitative
Otu86	0.3283	0.5456	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h1-q	Binary_Quantitative
Otu1132	0.3284	0.2912	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_copri"	grey	h1-q	Binary_Quantitative
Otu16263	0.3287	0.9051	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu17024	0.329	0.616	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu22008	0.3294	0.2279	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu8939	0.3294	0.7424	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae"	grey	h1-q	Binary_Quantitative
Otu792	0.3295	0.5637	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu10837	0.3298	0.5604	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu11085	0.3298	0.6079	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu16514	0.33	0.2446	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae"	grey	h1-q	Binary_Quantitative
Otu10646	0.3301	0.9866	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu3720	0.3304	0.1167	"Bacteria;Firmicutes"	grey	h1-q	Binary_Quantitative
Otu15856	0.3305	0.2191	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu28479	0.3306	0.8507	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter"	grey	h1-q	Binary_Quantitative
Otu28718	0.3306	0.3838	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu9369	0.3307	0.5996	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_stercorea"	grey	h1-q	Binary_Quantitative
Otu20957	0.3308	0.0397	Bacteria	grey	h1-q	Binary_Quantitative
Otu17001	0.3309	0.5286	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu15914	0.331	0.5415	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu3105	0.331	0.8402	"Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae"	grey	h1-q	Binary_Quantitative
Otu12204	0.3311	0.811	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae"	grey	h1-q	Binary_Quantitative
Otu12380	0.3311	0.4676	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	grey	h1-q	Binary_Quantitative
Otu23104	0.3311	0.2016	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia"	grey	h1-q	Binary_Quantitative
Otu800	0.3313	0.8191	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu26298	0.3321	0.1608	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu12249	0.3323	0.8987	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11"	grey	h1-q	Binary_Quantitative
Otu29648	0.3323	0.3429	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h1-q	Binary_Quantitative
Otu947	0.3325	0.2537	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu10592	0.3326	0.9083	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu15758	0.333	0.1099	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu13021	0.3339	0.4252	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu31565	0.3339	0.4114	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu223	0.334	0.651	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h1-q	Binary_Quantitative
Otu22342	0.334	0.2212	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu5944	0.3343	0.8024	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;Rothia_nasimurium"	grey	h1-q	Binary_Quantitative
Otu10474	0.3348	0.9745	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu340	0.3348	0.2116	"Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12"	grey	h1-q	Binary_Quantitative
Otu16179	0.3349	0.1595	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu8240	0.3351	0.4107	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu7457	0.3352	0.9321	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h1-q	Binary_Quantitative
Otu11580	0.3354	0.562	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu9652	0.3357	0.9596	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu7925	0.3358	0.1079	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h1-q	Binary_Quantitative
Otu7404	0.3372	0.3295	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h1-q	Binary_Quantitative
Otu26012	0.3373	0.7646	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu29291	0.3373	0.3075	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu518	0.3378	0.1917	"Bacteria;Firmicutes"	grey	h1-q	Binary_Quantitative
Otu7754	0.3382	0.3602	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h1-q	Binary_Quantitative
Otu15699	0.3384	0.1415	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus"	grey	h1-q	Binary_Quantitative
Otu3591	0.3391	0.3367	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h1-q	Binary_Quantitative
Otu466	0.3394	0.4076	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h1-q	Binary_Quantitative
Otu10750	0.3395	0.7203	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_copri"	grey	h1-q	Binary_Quantitative
Otu13160	0.3398	0.8894	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	grey	h1-q	Binary_Quantitative
Otu16549	0.3405	0.5132	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;CF231"	grey	h1-q	Binary_Quantitative
Otu11311	0.3411	0.7205	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu9336	0.3414	0.203	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae"	grey	h1-q	Binary_Quantitative
Otu17483	0.3415	0.3305	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu2866	0.3416	0.3144	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h1-q	Binary_Quantitative
Otu1308	0.3419	0.6923	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu24286	0.3419	0.03477	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu13169	0.3428	0.1469	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae"	grey	h1-q	Binary_Quantitative
Otu11066	0.343	0.02141	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h1-q	Binary_Quantitative
Otu13544	0.3431	0.9382	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu15961	0.3442	0.1148	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu16493	0.3446	0.5119	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu613	0.3448	0.5802	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu290	0.345	0.9013	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h1-q	Binary_Quantitative
Otu3341	0.3452	0.04767	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus"	grey	h1-q	Binary_Quantitative
Otu242	0.3454	0.09751	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h1-q	Binary_Quantitative
Otu11094	0.3459	0.2508	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu15669	0.3461	0.2476	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium_perfringens"	grey	h1-q	Binary_Quantitative
Otu484	0.3463	0.2373	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h1-q	Binary_Quantitative
Otu1162	0.3464	0.5129	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;CF231"	grey	h1-q	Binary_Quantitative
Otu7773	0.3464	0.2654	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu6944	0.3471	0.2765	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu15755	0.3472	0.5761	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae"	grey	h1-q	Binary_Quantitative
Otu7373	0.3472	0.05003	"Bacteria;Firmicutes"	grey	h1-q	Binary_Quantitative
Otu9027	0.3472	0.2866	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h1-q	Binary_Quantitative
Otu16214	0.3474	0.1969	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu10392	0.3476	0.4017	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu277	0.3476	0.7331	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_agilis"	grey	h1-q	Binary_Quantitative
Otu27900	0.3476	0.6696	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus"	grey	h1-q	Binary_Quantitative
Otu1161	0.3477	0.566	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu7145	0.3482	0.8014	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu12955	0.3484	0.3739	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu7340	0.3488	0.4361	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu151	0.3489	0.1088	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h1-q	Binary_Quantitative
Otu18861	0.3494	0.03481	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7"	grey	h1-q	Binary_Quantitative
Otu6049	0.3494	0.6936	"Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae;Sphaerochaeta"	grey	h1-q	Binary_Quantitative
Otu7807	0.3494	0.02472	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;Butyricicoccus_pullicaecorum"	grey	h1-q	Binary_Quantitative
Otu112	0.3509	0.1777	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	grey	h1-q	Binary_Quantitative
Otu15816	0.3511	0.2968	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia"	grey	h1-q	Binary_Quantitative
Otu9631	0.3513	0.779	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu1248	0.3519	0.6819	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;CF231"	grey	h1-q	Binary_Quantitative
Otu13294	0.3519	0.7744	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu984	0.3519	0.6922	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu8125	0.3525	0.7326	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h1-q	Binary_Quantitative
Otu8709	0.3528	0.5468	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu361	0.3531	0.2563	"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio"	grey	h1-q	Binary_Quantitative
Otu10628	0.3536	0.0299	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu23102	0.3538	0.9605	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h1-q	Binary_Quantitative
Otu11358	0.354	0.5728	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu25570	0.3541	0.528	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu21396	0.3542	0.06533	"Bacteria;Firmicutes"	grey	h1-q	Binary_Quantitative
Otu7057	0.3544	0.3012	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu9547	0.3544	0.1936	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu17036	0.3552	0.6906	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus"	grey	h1-q	Binary_Quantitative
Otu28632	0.3552	0.2713	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu29179	0.3559	0.01549	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus"	grey	h1-q	Binary_Quantitative
Otu2141	0.3562	0.8018	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h1-q	Binary_Quantitative
Otu10201	0.3566	0.4371	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16"	grey	h1-q	Binary_Quantitative
Otu16600	0.3567	0.8756	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu17010	0.3569	0.8095	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu31274	0.3569	0.7147	"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae"	grey	h1-q	Binary_Quantitative
Otu21353	0.357	0.9577	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h1-q	Binary_Quantitative
Otu22144	0.357	0.9153	"Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae"	grey	h1-q	Binary_Quantitative
Otu24513	0.3572	0.8086	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu22049	0.3574	0.9647	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu1946	0.3577	0.5118	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"	grey	h1-q	Binary_Quantitative
Otu8665	0.3582	0.3003	"Bacteria;Bacteroidetes"	grey	h1-q	Binary_Quantitative
Otu7319	0.3588	0.9707	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu9330	0.3592	0.07917	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu17241	0.3593	0.9612	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu25189	0.3595	0.5802	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h1-q	Binary_Quantitative
Otu8818	0.3595	0.7402	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu9216	0.3599	0.1904	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h1-q	Binary_Quantitative
Otu7148	0.3603	0.8183	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h1-q	Binary_Quantitative
Otu28888	0.3606	0.6388	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h1-q	Binary_Quantitative
Otu28423	0.3608	0.1192	"Bacteria;Proteobacteria;Alphaproteobacteria;RF32"	grey	h1-q	Binary_Quantitative
Otu8017	0.3608	0.9278	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu7485	0.3609	0.7296	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu24215	0.3611	0.9863	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu24623	0.3611	0.7422	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h1-q	Binary_Quantitative
Otu7425	0.3612	0.3443	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu24569	0.3616	0.03358	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu24697	0.3616	0.712	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h1-q	Binary_Quantitative
Otu638	0.3618	0.2151	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	grey	h1-q	Binary_Quantitative
Otu10099	0.3622	0.8572	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu21346	0.3625	0.5446	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h1-q	Binary_Quantitative
Otu7216	0.3625	0.9533	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu644	0.3632	0.01585	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae"	grey	h1-q	Binary_Quantitative
Otu23675	0.3637	0.5019	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu12452	0.3639	0.6088	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16"	grey	h1-q	Binary_Quantitative
Otu7759	0.3639	0.2137	"Bacteria;TM7;TM7-3;CW040;F16"	grey	h1-q	Binary_Quantitative
Otu15933	0.3645	0.3322	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu5995	0.3646	0.09046	"Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae;Sphaerochaeta"	grey	h1-q	Binary_Quantitative
Otu13936	0.3648	0.7541	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu23267	0.3658	0.04211	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu15823	0.3661	0.5468	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu26437	0.3663	0.4137	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus_bromii"	grey	h1-q	Binary_Quantitative
Otu6995	0.3663	0.8648	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu229	0.3666	0.5594	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	grey	h1-q	Binary_Quantitative
Otu26766	0.3666	0.7813	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu10495	0.3667	0.7296	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu19716	0.3669	0.2093	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h1-q	Binary_Quantitative
Otu15777	0.3672	0.6141	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu22264	0.3675	0.6248	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu17929	0.3676	0.8029	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu10593	0.3677	0.7684	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu11045	0.3684	0.2094	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h1-q	Binary_Quantitative
Otu16777	0.3684	0.479	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu7832	0.3685	0.7374	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h1-q	Binary_Quantitative
Otu16682	0.3686	0.7128	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu7000	0.369	0.7603	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium"	grey	h1-q	Binary_Quantitative
Otu11022	0.3691	0.0389	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h1-q	Binary_Quantitative
Otu6424	0.3691	0.1961	"Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae;Sphaerochaeta"	grey	h1-q	Binary_Quantitative
Otu31448	0.3696	0.06032	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h1-q	Binary_Quantitative
Otu6563	0.3698	0.8796	"Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Phascolarctobacterium"	grey	h1-q	Binary_Quantitative
Otu16901	0.3699	0.8214	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
Otu19717	0.3702	0.8618	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae"	grey	h1-q	Binary_Quantitative
Otu3330	0.3707	0.3594	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	grey	h1-q	Binary_Quantitative
Otu28430	0.3709	0.8475	"Bacteria;Proteobacteria;Alphaproteobacteria"	grey	h1-q	Binary_Quantitative
Otu31300	0.371	0.4662	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;SMB53"	grey	h1-q	Binary_Quantitative
Otu1200	0.3711	0.238	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h1-q	Binary_Quantitative
